Symbol,Sector,Industry,,,
JWNG.l,Commercial services,Advertising/Marketing services,,,
KAT.l,Non-energy minerals,Precious metals,,,
KDNC.l,Non-energy minerals,Other metals/Minerals,,,
KDR.l,Non-energy minerals,Other metals/Minerals,,,
KEFI.l,Non-energy minerals,Precious metals,,,
KETL.l,Electronic technology,Electronic equipment/Instruments,,,
KGF.l,Retail trade,Home improvement chains,,,
KINO.l,Industrial services,Engineering & construction,,,
KIST.l,Energy minerals,Oil & gas production,,,
KITW.l,Distribution services,Food distributors,,,
KLR.l,Industrial services,Engineering & construction,,,
KMK.l,Health technology,Medical specialties,,,
KMR.l,Non-energy minerals,Other metals/Minerals,,,
KNOS.l,Technology services,Information technology services,,,
KOO.l,Health services,Medical/Nursing services,,,
KP2.l,Non-energy minerals,Other metals/Minerals,,,
KPC.l,Miscellaneous,Investment trusts/Mutual funds,,,
KRS.l,Non-energy minerals,Precious metals,,,
KWS.l,Commercial services,Miscellaneous commercial services,,,
KZG.l,Non-energy minerals,Other metals/Minerals,,,
LABS.l,Finance,Real estate investment trusts,,,
LBG.l,Commercial services,Commercial printing/Forms,,,
LDG.l,Transportation,Air freight/Couriers,,,
LEX.l,Non-energy minerals,Precious metals,,,
LGEN.l,Finance,Multi-line insurance,,,
LGRS.l,Consumer services,Restaurants,,,
LIFS.l,Finance,Financial conglomerates,,,
LIKE.l,Distribution services,Wholesale distributors,,,
LINV.l,Finance,Finance/Rental/Leasing,,,
LIO.l,Finance,Investment managers,,,
LLA.l,Health services,Medical/Nursing services,,,
LLAI.l,Health services,Medical/Nursing services,,,
LLOY.l,Finance,Major banks,,,
LMP.l,Finance,Real estate investment trusts,,,
LORD.l,Distribution services,Wholesale distributors,,,
LSEG.l,Technology services,Internet software/Services,,,
LSL.l,Finance,Real estate development,,,
LST.l,Technology services,Information technology services,,,
LTG.l,Technology services,Packaged software,,,
LTHM.l,Distribution services,Wholesale distributors,,,
LTI.l,Miscellaneous,Investment trusts/Mutual funds,,,
LUCE.l,Electronic technology,Electronic equipment/Instruments,,,
LWDB.l,Miscellaneous,Investment trusts/Mutual funds,,,
LWI.l,Miscellaneous,Investment trusts/Mutual funds,,,
MAB.l,Consumer services,Restaurants,,,
MAB1.l,Finance,Finance/Rental/Leasing,,,
MACF.l,Producer manufacturing,Miscellaneous manufacturing,,,
MAFL.l,Finance,Financial conglomerates,,,
MAI.l,Technology services,Information technology services,,,
MAJE.l,Miscellaneous,Investment trusts/Mutual funds,,,
MANO.l,Finance,Finance/Rental/Leasing,,,
MARS.l,Consumer services,Restaurants,,,
MATD.l,Energy minerals,Oil & gas production,,,
MBH.l,Non-energy minerals,Construction materials,,,
MBO.l,Technology services,Internet software/Services,,,
MBT.l,Commercial services,Miscellaneous commercial services,,,
MCG.l,Transportation,Other transportation,,,
MCT.l,Miscellaneous,Investment trusts/Mutual funds,,,
MDZ.l,Electronic technology,Electronic production equipment,,,
MEGP.l,Retail trade,Specialty stores,,,
MER.l,Consumer durables,Homebuilding,,,
MET1.l,Non-energy minerals,Precious metals,,,
MEX.l,Consumer services,Restaurants,,,
MFAI.l,Finance,Investment managers,,,
MFX.l,Finance,Regional banks,,,
MGAM.l,Process industries,Industrial specialties,,,
MGNS.l,Industrial services,Engineering & construction,,,
MHC.l,Health technology,Medical specialties,,,
MIDW.l,Distribution services,Wholesale distributors,,,
MIRI.l,Commercial services,Advertising/Marketing services,,,
MKA.l,Non-energy minerals,Other metals/Minerals,,,
MKS.l,Retail trade,Department stores,,,
MLVN.l,Consumer services,Other consumer services,,,
MMAG.l,Retail trade,Internet retail,,,
MNDI.l,Process industries,Containers/Packaging,,,
MNKS.l,Miscellaneous,Investment trusts/Mutual funds,,,
MNP.l,Miscellaneous,Investment trusts/Mutual funds,,,
MONY.l,Technology services,Internet software/Services,,,
MOON.l,Technology services,Internet software/Services,,,
MOTR.l,Retail trade,Specialty stores,,,
MPAC.l,Producer manufacturing,Industrial machinery,,,
MPE.l,Process industries,Agricultural commodities/Milling,,,
MPL.l,Transportation,Other transportation,,,
MRCH.l,Miscellaneous,Investment trusts/Mutual funds,,,
MSLH.l,Non-energy minerals,Construction materials,,,
MSMN.l,Energy minerals,Integrated oil,,,
MTE.l,Miscellaneous,Investment trusts/Mutual funds,,,
MTEC.l,Technology services,Data processing services,,,
MTL.l,Non-energy minerals,Precious metals,,,
MTO.l,Commercial services,Miscellaneous commercial services,,,
MTRO.l,Finance,Finance/Rental/Leasing,,,
MTU.l,Miscellaneous,Investment trusts/Mutual funds,,,
MUT.l,Miscellaneous,Investment trusts/Mutual funds,,,
MWE.l,Electronic technology,Telecommunications equipment,,,
MWY.l,Miscellaneous,Investment trusts/Mutual funds,,,
MYX.l,Producer manufacturing,Industrial machinery,,,
N4P.l,Health technology,Biotechnology,,,
N91.l,Finance,Investment managers,,,
NAH.l,Finance,Insurance brokers/Services,,,
NAIT.l,Miscellaneous,Investment trusts/Mutual funds,,,
NAR.l,Distribution services,Electronics distributors,,,
NAS.l,Miscellaneous,Investment trusts/Mutual funds,,,
NBPE.l,Finance,Investment managers,,,
NCYF.l,Miscellaneous,Investment trusts/Mutual funds,,,
NCYT.l,Health technology,Medical specialties,,,
NESF.l,Finance,Investment managers,,,
NEXS.l,Industrial services,Engineering & construction,,,
NICL.l,Consumer non-durables,Beverages: non-alcoholic,,,
NIOX.l,Health services,Medical/Nursing services,,,
NRR.l,Finance,Real estate investment trusts,,,
NTBR.l,Industrial services,Engineering & construction,,,
NTOG.l,Energy minerals,Oil & gas production,,,
NTQ.l,Commercial services,Miscellaneous commercial services,,,
NXQ.l,Consumer durables,Recreational products,,,
NXR.l,Producer manufacturing,Building products,,,
OBD.l,Health technology,Biotechnology,,,
OBI.l,Health technology,Biotechnology,,,
OCDO.l,Retail trade,Food retail,,,
OCN.l,Transportation,Marine shipping,,,
OHT.l,Process industries,Agricultural commodities/Milling,,,
OIG.l,Miscellaneous,Investment trusts/Mutual funds,,,
OMG.l,Electronic technology,Electronic equipment/Instruments,,,
OMIP.l,Consumer services,Movies/Entertainment,,,
ONC.l,Health technology,Biotechnology,,,
OPG.l,Utilities,Electric utilities,,,
OPTI.l,Health technology,Biotechnology,,,
ORIT.l,Miscellaneous,Investment trusts/Mutual funds,,,
ORR.l,Non-energy minerals,Precious metals,,,
OSB.l,Finance,Major banks,,,
OTB.l,Consumer services,Other consumer services,,,
OXB.l,Health technology,Biotechnology,,,
OXIG.l,Electronic technology,Electronic equipment/Instruments,,,
PAF.l,Non-energy minerals,Precious metals,,,
PAGE.l,Commercial services,Personnel services,,,
PANR.l,Energy minerals,Oil & gas production,,,
PAT.l,Non-energy minerals,Precious metals,,,
PBEE.l,Finance,Investment managers,,,
PCA.l,Finance,Real estate development,,,
PCFT.l,Miscellaneous,Investment trusts/Mutual funds,,,
PCGH.l,Miscellaneous,Investment trusts/Mutual funds,,,
PCIP.l,Finance,Regional banks,,,
PCTN.l,Finance,Real estate investment trusts,,,
PDL.l,Non-energy minerals,Other metals/Minerals,,,
PEBB.l,Commercial services,Advertising/Marketing services,,,
PEEL.l,Finance,Regional banks,,,
PGH.l,Finance,Insurance brokers/Services,,,
PHE.l,Utilities,Electric utilities,,,
PHLL.l,Finance,Financial conglomerates,,,
PHNX.l,Finance,Life/Health insurance,,,
PHP.l,Finance,Real estate investment trusts,,,
PHSC.l,Commercial services,Miscellaneous commercial services,,,
PIER.l,Consumer services,Movies/Entertainment,,,
PIP.l,Electronic technology,Electronic equipment/Instruments,,,
PMG.l,Energy minerals,Oil & gas production,,,
PMI.l,Finance,Investment managers,,,
PMP.l,Consumer durables,Home furnishings,,,
PNL.l,Miscellaneous,Investment trusts/Mutual funds,,,
PNN.l,Utilities,Water utilities,,,
POLB.l,Health technology,Pharmaceuticals: major,,,
POLN.l,Finance,Investment managers,,,
POLR.l,Finance,Investment managers,,,
POLX.l,Health technology,Medical specialties,,,
POS.l,Industrial services,Oilfield services/Equipment,,,
POW.l,Non-energy minerals,Other metals/Minerals,,,
PPET.l,Finance,Investment managers,,,
PPS.l,Electronic technology,Electronic production equipment,,,
PREM.l,Non-energy minerals,Other metals/Minerals,,,
PRES.l,Producer manufacturing,Miscellaneous manufacturing,,,
PRSR.l,Finance,Real estate investment trusts,,,
PRV.l,Producer manufacturing,Industrial machinery,,,
PSDL.l,Finance,Real estate development,,,
PSON.l,Consumer services,Publishing: books/magazines,,,
PTAL.l,Energy minerals,Integrated oil,,,
PXC.l,Non-energy minerals,Other metals/Minerals,,,
PXEN.l,Energy minerals,Oil & gas production,,,
PYC.l,Commercial services,Miscellaneous commercial services,,,
QBT.l,Finance,Financial conglomerates,,,
QED.l,Process industries,Industrial specialties,,,
QLT.l,Finance,Investment managers,,,
QTX.l,Distribution services,Electronics distributors,,,
QUIZ.l,Consumer non-durables,Apparel/Footwear,,,
RAI.l,Commercial services,Miscellaneous commercial services,,,
RBD.l,Energy minerals,Oil & gas production,,,
RBGP.l,Commercial services,Miscellaneous commercial services,,,
RBN.l,Producer manufacturing,Miscellaneous manufacturing,,,
RCDO.l,Commercial services,Miscellaneous commercial services,,,
RCN.l,Technology services,Information technology services,,,
RCP.l,Miscellaneous,Investment trusts/Mutual funds,,,
RDT.l,Technology services,Packaged software,,,
REAT.l,Consumer services,Movies/Entertainment,,,
RECI.l,Miscellaneous,Investment trusts/Mutual funds,,,
REL.l,Commercial services,Miscellaneous commercial services,,,
RENX.l,Technology services,Packaged software,,,
RESI.l,Finance,Real estate investment trusts,,,
RFX.l,Finance,Regional banks,,,
RGL.l,Miscellaneous,Investment trusts/Mutual funds,,,
RHIM.l,Non-energy minerals,Other metals/Minerals,,,
RICA.l,Miscellaneous,Investment trusts/Mutual funds,,,
RIII.l,Miscellaneous,Investment trusts/Mutual funds,,,
RKH.l,Energy minerals,Oil & gas production,,,
RLE.l,Finance,Real estate investment trusts,,,
RMII.l,Miscellaneous,Investment trusts/Mutual funds,,,
RMV.l,Finance,Real estate development,,,
RNK.l,Consumer services,Movies/Entertainment,,,
RNO.l,Producer manufacturing,Industrial machinery,,,
RNWH.l,Industrial services,Engineering & construction,,,
ROR.l,Producer manufacturing,Industrial machinery,,,
RPI.l,Electronic technology,Computer processing hardware,,,
RS1.l,Distribution services,Wholesale distributors,,,
RSE.l,Finance,Investment managers,,,
RST.l,Commercial services,Miscellaneous commercial services,,,
RSW.l,Producer manufacturing,Industrial machinery,,,
RWA.l,Commercial services,Personnel services,,,
RWI.l,Industrial services,Environmental services,,,
RWS.l,Commercial services,Miscellaneous commercial services,,,
SAAS.l,Technology services,Packaged software,,,
SAE.l,Utilities,Electric utilities,,,
SAG.l,Commercial services,Miscellaneous commercial services,,,
SAGA.l,Consumer services,Other consumer services,,,
SAIN.l,Miscellaneous,Investment trusts/Mutual funds,,,
SAL.l,Commercial services,Advertising/Marketing services,,,
SALT.l,Process industries,Chemicals: specialty,,,
SAV.l,Non-energy minerals,Other metals/Minerals,,,
SBDS.l,Commercial services,Miscellaneous commercial services,,,
SBRE.l,Finance,Property/Casualty insurance,,,
SBRY.l,Retail trade,Food retail,,,
SBTX.l,Health technology,Pharmaceuticals: other,,,
SCE.l,Producer manufacturing,Auto parts: OEM,,,
SCLP.l,Health technology,Biotechnology,,,
SCP.l,Miscellaneous,Investment trusts/Mutual funds,,,
SCT.l,Technology services,Information technology services,,,
SDI.l,Electronic technology,Electronic equipment/Instruments,,,
SDR.l,Finance,Investment managers,,,
SDX.l,Energy minerals,Oil & gas production,,,
SEEN.l,Technology services,Packaged software,,,
SENX.l,Energy minerals,Oil & gas production,,,
SEQI.l,Miscellaneous,Investment trusts/Mutual funds,,,
SERE.l,Finance,Real estate investment trusts,,,
SFR.l,Industrial services,Engineering & construction,,,
SGE.l,Technology services,Packaged software,,,
SGRO.l,Finance,Real estate investment trusts,,,
SHED.l,Finance,Real estate investment trusts,,,
SHI.l,Distribution services,Wholesale distributors,,,
SHOE.l,Consumer non-durables,Apparel/Footwear,,,
SHRS.l,Miscellaneous,Investment trusts/Mutual funds,,,
SIS.l,Consumer non-durables,Household/Personal care,,,
SJG.l,Miscellaneous,Investment trusts/Mutual funds,,,
SKA.l,Non-energy minerals,Other metals/Minerals,,,
SKL.l,Commercial services,Miscellaneous commercial services,,,
SMDS.l,Process industries,Containers/Packaging,,,
SMIF.l,Miscellaneous,Investment trusts/Mutual funds,,,
SML.l,Non-energy minerals,Steel,,,
SMT.l,Miscellaneous,Investment trusts/Mutual funds,,,
SMWH.l,Retail trade,Food retail,,,
SNR.l,Electronic technology,Aerospace & defense,,,
SNWS.l,Distribution services,Wholesale distributors,,,
SOI.l,Miscellaneous,Investment trusts/Mutual funds,,,
SOLI.l,Distribution services,Electronics distributors,,,
SOU.l,Energy minerals,Oil & gas production,,,
SOUC.l,Energy minerals,Integrated oil,,,
SPA.l,Technology services,Internet software/Services,,,
SPEC.l,Health technology,Medical specialties,,,
SPSY.l,Electronic technology,Computer peripherals,,,
SQZ.l,Energy minerals,Oil & gas production,,,
SRB.l,Non-energy minerals,Precious metals,,,
SRC.l,Non-energy minerals,Construction materials,,,
SREI.l,Finance,Real estate investment trusts,,,
SRES.l,Non-energy minerals,Other metals/Minerals,,,
SRP.l,Commercial services,Miscellaneous commercial services,,,
SRT.l,Electronic technology,Telecommunications equipment,,,
SSE.l,Utilities,Electric utilities,,,
SSIT.l,Miscellaneous,Investment trusts/Mutual funds,,,
SSON.l,Miscellaneous,Investment trusts/Mutual funds,,,
SSPG.l,Consumer services,Restaurants,,,
SSTY.l,Consumer services,Hotels/Resorts/Cruise lines,,,
STAN.l,Finance,Major banks,,,
STB.l,Finance,Major banks,,,
STCM.l,Non-energy minerals,Construction materials,,,
STJ.l,Finance,Life/Health insurance,,,
STVG.l,Consumer services,Broadcasting,,,
SUPR.l,Finance,Real estate investment trusts,,,
SUS.l,Finance,Finance/Rental/Leasing,,,
SXS.l,Producer manufacturing,Electrical products,,,
SYN.l,Energy minerals,Oil & gas production,,,
SYNC.l,Miscellaneous,Investment trusts/Mutual funds,,,
SYNT.l,Process industries,Chemicals: specialty,,,
SYS1.l,Commercial services,Miscellaneous commercial services,,,
TAM.l,Finance,Investment managers,,,
TAST.l,Consumer services,Restaurants,,,
TATE.l,Consumer non-durables,Food: specialty/candy,,,
TAVI.l,Finance,Investment managers,,,
TBCG.l,Finance,Major banks,,,
TBLS.l,Technology services,Packaged software,,,
TCAP.l,Finance,Investment banks/Brokers,,,
TCF.l,Health services,Medical/Nursing services,,,
TEK.l,Technology services,Information technology services,,,
TENG.l,Technology services,Internet software/Services,,,
TET.l,Process industries,Chemicals: specialty,,,
TFIF.l,Miscellaneous,Investment trusts/Mutual funds,,,
TFW.l,Producer manufacturing,Electrical products,,,
TGP.l,Producer manufacturing,Electrical products,,,
THRG.l,Miscellaneous,Investment trusts/Mutual funds,,,
THRL.l,Finance,Real estate investment trusts,,,
THRU.l,Electronic technology,Aerospace & defense,,,
THX.l,Non-energy minerals,Precious metals,,,
TIA.l,Technology services,Data processing services,,,
TIDE.l,Technology services,Packaged software,,,
TIFS.l,Producer manufacturing,Auto parts: OEM,,,
TIG.l,Commercial services,Advertising/Marketing services,,,
TLOU.l,Energy minerals,Coal,,,
TLW.l,Energy minerals,Oil & gas production,,,
TLY.l,Health services,Medical/Nursing services,,,
TM17.l,Technology services,Packaged software,,,
TMG.l,Commercial services,Advertising/Marketing services,,,
TMIP.l,Finance,Financial conglomerates,,,
TMPL.l,Miscellaneous,Investment trusts/Mutual funds,,,
TND.l,Consumer durables,Recreational products,,,
TON.l,Producer manufacturing,Building products,,,
TPFG.l,Finance,Real estate development,,,
TPK.l,Retail trade,Home improvement chains,,,
TRAC.l,Electronic technology,Telecommunications equipment,,,
TRB.l,Technology services,Packaged software,,,
TRCS.l,Technology services,Packaged software,,,
TRIG.l,Finance,Investment managers,,,
TRLS.l,Technology services,Internet software/Services,,,
TRY.l,Miscellaneous,Investment trusts/Mutual funds,,,
TST.l,Technology services,Packaged software,,,
TSTL.l,Health technology,Medical specialties,,,
TTG.l,Electronic technology,Electronic components,,,
TUN.l,Non-energy minerals,Precious metals,,,
TUNE.l,Electronic technology,Telecommunications equipment,,,
TYM.l,Non-energy minerals,Other metals/Minerals,,,
UEM.l,Miscellaneous,Investment trusts/Mutual funds,,,
UJO.l,Energy minerals,Oil & gas production,,,
UKOG.l,Energy minerals,Oil & gas production,,,
UKW.l,Finance,Investment managers,,,
ULTP.l,Distribution services,Wholesale distributors,,,
UOG.l,Energy minerals,Oil & gas production,,,
UPR.l,Distribution services,Medical distributors,,,
URU.l,Non-energy minerals,Other metals/Minerals,,,
VANL.l,Industrial services,Engineering & construction,,,
VANQ.l,Finance,Finance/Rental/Leasing,,,
VARE.l,Consumer services,Restaurants,,,
VAST.l,Non-energy minerals,Other metals/Minerals,,,
VCP.l,Consumer durables,Home furnishings,,,
VCT.l,Process industries,Chemicals: major diversified,,,
VEIL.l,Miscellaneous,Investment trusts/Mutual funds,,,
VELA.l,Finance,Financial conglomerates,,,
VIC.l,Retail trade,Home improvement chains,,,
VIP.l,Miscellaneous,Investment trusts/Mutual funds,,,
VLE.l,Consumer non-durables,Food: specialty/candy,,,
VLG.l,Health technology,Pharmaceuticals: major,,,
VLX.l,Producer manufacturing,Electrical products,,,
VNH.l,Miscellaneous,Investment trusts/Mutual funds,,,
VOF.l,Miscellaneous,Investment trusts/Mutual funds,,,
VRCI.l,Health services,Medical/Nursing services,,,
VSL.l,Finance,Finance/Rental/Leasing,,,
VSVS.l,Producer manufacturing,Miscellaneous manufacturing,,,
VTU.l,Retail trade,Specialty stores,,,
VTY.l,Consumer durables,Homebuilding,,,
W7L.l,Distribution services,Medical distributors,,,
WATR.l,Industrial services,Engineering & construction,,,
WBI.l,Non-energy minerals,Forest products,,,
WEB.l,Consumer services,Casinos/Gaming,,,
WEIR.l,Producer manufacturing,Trucks/Construction/Farm machinery,,,
WHI.l,Finance,Investment managers,,,
WINE.l,Consumer non-durables,Beverages: alcoholic,,,
WINK.l,Finance,Real estate development,,,
WIZZ.l,Transportation,Airlines,,,
WJG.l,Consumer durables,Homebuilding,,,
WKOF.l,Miscellaneous,Investment trusts/Mutual funds,,,
WKP.l,Finance,Real estate investment trusts,,,
WNWD.l,Technology services,Data processing services,,,
WOSG.l,Retail trade,Specialty stores,,,
WPHO.l,Electronic technology,Electronic equipment/Instruments,,,
WSBN.l,Non-energy minerals,Precious metals,,,
WSG.l,Transportation,Other transportation,,,
WTAN.l,Miscellaneous,Investment trusts/Mutual funds,,,
WTB.l,Consumer services,Hotels/Resorts/Cruise lines,,,
WTE.l,Finance,Investment managers,,,
WWH.l,Miscellaneous,Investment trusts/Mutual funds,,,
WYN.l,Process industries,Agricultural commodities/Milling,,,
XLM.l,Commercial services,Advertising/Marketing services,,,
XPF.l,Consumer services,Movies/Entertainment,,,
XPS.l,Finance,Investment managers,,,
XSG.l,Producer manufacturing,Industrial machinery,,,
YCA.l,Distribution services,Wholesale distributors,,,
YNGA.l,Consumer services,Restaurants,,,
YNGN.l,Consumer services,Restaurants,,,
ZED.l,Process industries,Industrial specialties,,,
ZIOC.l,Non-energy minerals,Steel,,,
ZNWD.l,Non-energy minerals,Precious metals,,,
ZOO.l,Consumer services,Movies/Entertainment,,,
ZPHR.l,Energy minerals,Oil & gas production,,,
ZTF.l,Process industries,Chemicals: specialty,,,
ZYT,Electronic technology,Computer peripherals,,,